"fish_id","datetime","sal_ppt","o2_mgl","temp_c","pres_hpa","smr_mgo2_kg_h"
"FV114","2025-07-25 07:22:45",0,10.4178103865088,10.8326666666667,1011,100.157691136144
"FV121","2025-07-29 19:49:01",0,7.83439578531838,17.0086666666667,1010,225.213673908241
"FV117","2025-07-29 20:17:23",0,8.61446905162037,17.0505,1010,208.778196842715
"FV119","2025-07-29 23:46:37",0,8.59046529255991,17.0586666666667,1010,193.540281025619
"FV118","2025-07-30 00:57:27",0,8.6106284501707,17.0615,1010,222.578471422775
"FV120","2025-07-30 02:33:46",0,8.47519916494951,16.9996666666667,1010,207.172589901672
"FV122","2025-07-30 05:28:06",0,7.75491507621416,17.0115,1010,225.846076898635
"FV127","2025-07-30 20:43:49",0,11.0181684080654,8.08016666666667,1010,121.945502605039
"FV124","2025-07-30 21:26:10",0,11.1076853238586,8.12066666666667,1010,83.1030541866638
"FV128","2025-07-31 03:10:54",0,10.8937524008837,8.0785,1010,92.7645403313877
"FV129","2025-07-31 03:46:04",0,10.7758318190475,8.0805,1010,85.5550215577098
"FV130","2025-07-31 04:04:56",0,10.9252129078265,8.07416666666667,1010,96.9479030431797
"FV126","2025-07-31 06:41:17",0,10.758752234033,8.11083333333333,1010,88.7594601413583
"FV125","2025-07-31 06:50:02",0,11.1060561292646,8.10116666666667,1010,79.3434710262153
"FV132","2025-07-31 22:28:47",0,7.9150991937237,19.9403333333333,1010,236.866699805003
"FV134","2025-07-31 23:15:28",0,7.93025946547134,19.9388333333333,1010,275.089102640118
"FV131","2025-08-01 00:18:18",0,7.79880049371374,20.0465,1010,283.964862236663
"FV139","2025-08-01 18:57:23",0,9.29793011165663,14.0503333333333,1010,170.416890277624
"FV143","2025-08-01 20:55:01",0,9.50848798996727,13.9335,1010,155.448991635389
"FV140","2025-08-02 01:21:41",0,9.49879216132715,14.0278333333333,1010,159.431395524142
"FV142","2025-08-02 03:40:42",0,9.56908431653976,13.9411666666667,1010,156.446278231427
"FV138","2025-08-02 03:45:04",0,8.74147126293242,14.028,1010,160.488475667318
"FV141","2025-08-02 05:19:28",0,9.23438324947073,14.0263333333333,1010,139.808299113716
"FV172","2025-12-16T03:10:27Z",35,8.7642690904911,7.92783333333333,1013.25,85.5202582059347
"FV171","2025-12-16T05:27:12Z",35,8.64424335938413,7.90833333333333,1013.25,104.968734627384
"FV169","2025-12-16T06:48:17Z",35,8.80777360955472,7.91683333333333,1013.25,81.2433599766789
"FV174","2025-12-16T07:40:04Z",35,8.78198752743527,7.8645,1013.25,64.7357952745885
"FV173","2025-12-16T08:17:41Z",35,8.81110114815789,7.87833333333333,1013.25,74.7190977606166
"FV177","2025-12-17T02:41:11Z",35,7.55328515405398,12.9948333333333,1013.25,85.2283135470365
"FV179","2025-12-17T03:35:48Z",35,7.54603823376763,12.9443333333333,1013.25,91.0170818616932
"FV178","2025-12-17T04:47:21Z",35,7.61265105203747,13.0043333333333,1013.25,99.7087003088618
"FV176","2025-12-17T06:53:30Z",35,7.65751101487469,12.9973333333333,1013.25,96.207623690097
"FV175","2025-12-17T07:57:48Z",35,7.62280802475533,13.0031666666667,1013.25,87.7551465284047
"FV180","2025-12-17T08:19:04Z",35,7.65957619955753,12.959,1013.25,83.3639940415835
"FV176","2025-12-17T08:25:56Z",35,7.64745123666397,13.0113333333333,1013.25,96.1790894710145
"FV183","2025-12-18T00:42:08Z",35,6.79100769397423,16.9101666666667,1013.25,126.628132914734
