"fish_id","exp","holding_tank","acc_tank","chamber","fish_mort_resting","fish_mort_pcrit","equipment_failure_resting","posttrial_wet_weight_g","cf","hsi","l_perc_dw","t_perc_dw"
"FV088","group13","tank_1","tank_3","ch6","N","N","N",19.1,1.05185015485878,1.62566844919786,0.223684210526316,0.27831715210356
"FV089","group13","tank_1","tank_3","ch7","Y","N","N",14.9,1.08947515813842,1.47260273972603,0.26046511627907,0.328173374613003
"FV090","group14","tank_3","tank_1","ch1","N","N","N",22.5,1.152,1.18721461187215,0.342307692307692,0.326683291770574
"FV091","group14","tank_3","tank_1","ch2","N","N","N",20,1.83028331870632,1.73333333333333,0.322485207100592,0.269058295964126
"FV092","group14","tank_3","tank_1","ch3","N","N","N",10.8,0.988352992101412,0.952380952380952,0.3,0.272727272727273
"FV093","group14","tank_3","tank_1","ch4","N","N","N",21.1,1.19103999241347,1.20873786407767,0.285140562248996,0.299227799227799
"FV094","group14","tank_3","tank_1","ch5","N","N","N",23,1.1776,1.08888888888889,0.277551020408163,0.262962962962963
"FV095","group14","tank_3","tank_1","ch7","N","N","N",20.1,1.19276578649255,1.11224489795918,0.284403669724771,0.26969696969697
"FV096","group14","tank_3","tank_1","ch8","N","N","N",15.6,1.11037718658892,1.0794701986755,0.282208588957055,0.270161290322581
"FV097","group15","tank_2","tank_3","ch1","N","N","N",17.6,1.18794986851555,1.32544378698225,0.325892857142857,0.257918552036199
"FV098","group15","tank_2","tank_3","ch2","N","N","N",14.5,1.03208135932945,0.794326241134752,0.285714285714286,0.248447204968944
"FV099","group15","tank_2","tank_3","ch3","N","N","N",16.5,1.17443740889213,1.3375,0.257009345794392,0.240223463687151
"FV100","group15","tank_2","tank_3","ch4","N","N","N",24.1,1.17653778614644,0.966101694915254,0.271929824561404,0.268796992481203
"FV101","group15","tank_2","tank_3","ch5","Y","N","N",19.4,1.12268518518519,1.45263157894737,0.300724637681159,0.355789473684211
"FV102","group15","tank_2","tank_3","ch6","N","N","N",19.3,1.03715096242773,0.840425531914893,0.278481012658228,0.278551532033426
"FV103","group16","tank_1","tank_2","ch1","N","N","N",12.4,1.01220936734466,1.58677685950413,0.260416666666667,0.290178571428571
"FV104","group16","tank_1","tank_2","ch2","N","N","N",24.1,1.14917755126953,1.49137931034483,0.265895953757225,0.276422764227642
"FV105","group16","tank_1","tank_2","ch3","N","N","N",19.5,0.974816734453923,1.72251308900524,0.297872340425532,0.342047930283224
